Alignment ID	Average Rt(min)	Average Mz	Adduct type	Fill %	S/N average	MS1 isotopic spectrum	MS/MS spectrum	NC	NC	NC	NC	NC	NC	NC	UC	UC	UC	UC	UC	UC	UC	CS	CS	CS	CS	CS	CS	CS
16	18.05	61.98528	[M-H]-	0.524	20.33	61.98528:63968 62.98863:0 63.99199:60		0.002019876	0.001323812	0.002086295	0.001908703	0.001396342	0.001548801	0.001498908	0.001726998	0.001846642	0.001289826	0.001087616	0.001943431	0.001631481	0.002337429	0.001194511	0.001714967	0.002674142	0.003088065	0.001601929	0.001952116	0.002703091
17	9.663	61.98528	[M-H]-	0.079	5.16	61.98528:36411 62.98863:34 63.99199:0		8.15975E-05	0.000519158	0.000496538	0.000538973	0.000240693	0.000144457	0.000516997	0.000518682	4.82756E-05	5.00212E-05	0.00037922	7.4736E-05	0.000539709	0.000586158	0.000418136	8.73169E-05	0.00079344	0.000334251	0.000338166	0.000512822	0.000888319
18	21.235	61.98534	[M-H]-	0.016	87.07	61.98534:536870 62.98869:698 63.99205:1395		0.003898077	0.008318605	0.002316821	0.003324572	0.004354744	0.00824326	0.007820995	0.007274185	0.013691261	0.017488445	0.009689568	0.013323526	0.009356331	0.004445595	0.011222471	0.006278732	0.020705262	0.014132955	0.00922928	0.009403796	0.015065983
19	2.233	61.98535	[M-H]-	0.016	1.85	61.98535:20293 62.9887:0 63.99206:36		8.49547E-05	4.54481E-05	0.00010351	7.45589E-05	9.0034E-05	0.000107547	3.12277E-05	6.79939E-05	4.12708E-05	6.11819E-05	6.92974E-05	6.88175E-05	6.14752E-05	8.39946E-05	6.13632E-05	0.000120798	9.46269E-05	4.59142E-05	5.83936E-05	6.05541E-05	0.000112083
20	12.754	61.98537	[M-H]-	0.016	7.57	61.98537:47757 62.98872:0 63.99208:189		9.5887E-05	0.000629946	0.000322824	9.61755E-05	0.000895879	0.000654137	0.000166878	0.000289652	0.000205593	0.000335639	9.35245E-05	7.52778E-05	0.000489047	0.00011746	0.00050793	0.000717386	0.000873543	0.000411194	0.000325974	0.000539182	0.000598009
21	1.545	61.98537	[M-H]-	0.016	5.69	61.98537:32893 62.98872:0 63.99208:63		0.000254293	0.000228183	0.000601057	0.000270865	0.000265389	0.000583726	0.000411283	0.000223504	0.000244369	0.000466108	0.000395642	0.000855041	0.000224651	0.000639609	0.000442218	0.00058925	0.000561308	0.000825161	0.000411929	0.000527901	0.000718331
22	12.889	61.98537	[M-H]-	0.048	9.08	61.98537:47380 62.98872:0 63.99208:188		0.000249391	0.000299361	0.000528324	0.000223811	0.000808162	0.000239606	0.000482089	7.51663E-05	0.000143717	0.000320256	0.000192484	8.86435E-05	0.000551444	0.000460517	0.000320983	0.000246621	0.000593666	0.000150857	0.000271453	0.000247525	0.000367063
23	2.837	61.98538	[M-H]-	0.032	4.68	61.98538:33996 62.98873:0 63.99209:144		0.000280059	0.00015714	0.000101522	3.67572E-05	0.000115537	0.000186728	0.000261031	9.3855E-05	0.000107529	0.000106634	4.33878E-05	0.000559571	0.000558969	0.000491904	0.00031994	6.03952E-05	0.000363955	0.000269703	3.37791E-05	0.000399889	0.000281798
24	11.989	61.98538	[M-H]-	0.111	10.57	61.98538:44275 62.98873:0 63.99209:102		7.60191E-05	0.000138067	0.000190272	0.00053235	0.000173003	0.000182167	8.99499E-05	0.000128608	0.000292959	0.000266908	0.000155296	0.000117158	0.000459438	0.000128954	0.000185483	0.000107624	0.000190178	0.000247472	0.00020118	0.00012	0.000100228
25	20.844	61.9854	[M-H]-	0.079	100.61	61.9854:633342 62.98875:0 63.99211:2002		0.014282137	0.006461536	0.006538338	0.007781964	0.015247262	0.004328361	0.005028878	0.006469867	0.02170428	0.004533233	0.02158956	0.008734775	0.018845551	0.007024049	0.010151178	0.005435386	0.014518821	0.012355056	0.017279461	0.008853361	0.006983757
26	23.184	61.98541	[M-H]-	0.333	79.59	61.98541:453065 62.98876:716 63.99212:1074		0.004906156	0.004861001	0.003252095	0.007881698	0.003530139	0.002729558	0.002326448	0.002969367	0.002320343	0.002808279	0.002259639	0.002684682	0.002011521	0.005084532	0.001549743	0.001793829	0	0.002482824	0	0	0
27	22.328	61.98543	[M-H]-	0.032	71.88	61.98543:117361 62.98878:1611 63.99214:2517		0.000363945	0.000471861	0.00039186	0.000221472	0.000602996	0.000169576	6.68949E-05	0.000303478	0.000540881	0.000300986	0.000109733	0.000288369	9.61451E-05	0.000587166	0.000344278	0.000609846	0	0.000340892	0	0	0
28	12.118	61.98545	[M-H]-	0.159	6.92	61.98545:45836 62.9888:0 63.99216:82		0.000170964	0.000108237	0.000138972	9.26483E-05	0.000276914	0.000134323	0.000193487	0.000108202	0.000126905	0.000143234	0.000100007	8.21959E-05	0.000384013	0.000126843	0.000216956	0.000538374	0.000247946	0.00025956	7.62441E-05	6.62056E-05	0.000118666
29	19.528	61.98546	[M-H]-	0.222	103.47	61.98546:545566 62.98881:992 63.99217:1488		0.011837766	0.003774254	0.008025638	0.004995227	0.008846731	0.011062068	0.002645178	0.004032764	0.014119982	0.006184487	0.01054082	0.009020534	0.011618157	0.013547795	0.004409142	0.019643276	0.02406936	0.016930669	0.011840594	0.00391023	0.0092714
30	16.214	61.98547	[M-H]-	0.016	11.37	61.98547:40374 62.98882:76 63.99218:0		0.001415958	0.000703123	0.00137685	0.001322338	0.000598951	0.001038702	0.000646117	9.15874E-05	0.001044194	0.000953424	0.000824022	6.08184E-05	0.000714331	0.000177911	0.000314162	0.000929745	0.001589747	0.001312627	0.000765276	0.000459652	0.001382431
31	23.853	61.98555	[M-H]-	0.111	180.65	61.98555:301594 62.9889:262 63.99226:262		0.000426757	0.000721466	0.001136401	0.004609062	0.000375998	0.001431069	0.000357767	0.001430415	0.001515975	0.000953622	0.001594786	0.000786038	1.55018E-05	0	0	0	0	0	0	0	0
32	24.56	61.98564	[M-H]-	0.048	110.12	61.98564:226915 62.98899:192 63.99235:1156		0	0	0	0	0	0	0	0	0	0	0	0	0.000143035	0	9.77203E-06	0	0	0	5.11133E-09	0	0
33	20.724	61.98564	[M-H]-	0.127	128.92	61.98564:568291 62.98899:1823 63.99235:2344		0.009265978	0.008401637	0.011682288	0.019151192	0.012462447	0.009883503	0.012781616	0.007658358	0.021678589	0.002890353	0.02158956	0.020673917	0.018812996	0.012020435	0.004648079	0.014434712	0.009806691	0.007242829	0.004119838	0.008378533	0.025059694
34	23.092	61.98565	[M-H]-	0.19	111.97	61.98565:468835 62.989:0 63.99236:664		0.00248877	0.002430898	0.003252095	0.002354772	0.002792873	0.002258361	0.002023802	0.002102277	0.002129246	0.002065201	0.001975329	0.00234511	0.000322672	0.002395548	0.003809699	0.005648615	0	0.007132537	0	0	0
35	9.944	61.98566	[M-H]-	0.222	6.53	61.98566:37210 62.98901:33 63.99237:181		0.000607663	0.00063112	0.000698514	0.000846755	0.000653876	0.000558753	0.000519466	0.000812603	0.000838957	0.000202715	0.000705813	0.000755698	0.000697205	0.000224266	0.000289043	0.000539588	0.001373418	0.00110263	0.000240621	0.00089232	0.000454231
36	22.127	61.98566	[M-H]-	0.063	70.86	61.98566:107626 62.98901:101 63.99237:303		0.000168168	0.000439446	0.000409018	0.000109121	0.000277462	0.000414369	8.41599E-05	0.000259686	0.000241274	0.000198746	0.000119146	0.000233537	5.24385E-06	0.000263608	0.000256757	0.000428217	0	0.00057659	0	0	0
37	21.846	61.9857	[M-H]-	0.492	212.4	61.9857:761208 62.98905:1210 63.99241:2419		0.026841784	0.013846157	0.012968925	0.010526707	0.015105754	0.012704881	0.016684324	0.013631159	0.010672367	0.016493849	0.007211164	0.002156802	0.009308911	0.019798468	0.012971771	0.017354728	0.020842726	0.034520538	0.010909445	0.010342562	0.006381858
38	23.615	61.98573	[M-H]-	0.175	119.68	61.98714:133223 62.99049:454 63.99385:770	31.98968:23 45.99272:1174 61.98672:549	0.000206662	8.31969E-05	0.00083608	6.73388E-05	0.000262845	0.001034158	4.07461E-05	0.001498346	0.001494476	0.000605605	0.00017804	0.000202912	2.47682E-05	0	0	0	0	0	0	0	0
39	1.331	61.98576	[M-H]-	0.651	17.12	61.98576:50309 62.98911:0 63.99247:0		0.00060033	0.000743952	0.001403175	0.000448354	0.001011527	0.000852696	0.001022916	0.000628337	0.000756569	0.000487318	0.001027194	0.000840816	0.000316408	0.000745805	0.001161345	0.000446697	0.000738448	0.000783518	0.000797204	0.000970452	0.000957408
40	22.211	61.98577	[M-H]-	0.111	60.97	61.98577:117222 62.98912:200 63.99248:100		0.000354707	0.000343435	0.000391323	0.000215165	0.000373267	0.000333165	8.48854E-05	0.000575755	0.000345934	0.000134681	0.000275937	0.000303731	0.000389351	0.000377079	0.000183078	0.000464116	0	0.001082964	0	0	0
41	24.221	61.98579	[M-H]-	0.127	101.76	61.98579:196708 62.98914:169 63.9925:253		0	0.000690645	0	0	0	0	0	0	0	0	0	0	0.000323457	0	5.53037E-06	0	0	0	5.11133E-09	0	0
42	23.322	61.98587	[M-H]-	0.365	196.77	61.98587:467297 62.98922:0 63.99258:0		0.001621337	0.001557365	0.005791379	0.001157533	0.010017766	0.000309471	0.001966639	0.005358174	0.00096718	0.005281524	0.003356675	0.002438522	0.002107345	0.002050872	0	0.001756224	0	0	0	0	0
43	19.876	61.98589	[M-H]-	0.079	71.54	61.98589:491463 62.98924:503 63.9926:1006		0.01087589	0.00933547	0.00725349	0.005822136	0.028361461	0.004293889	0.005927183	0.004454089	0.002149904	0.007654389	0.008428057	0.008662724	0.009736514	0.009093903	0.008968287	0.00449589	0.00850959	0.016837212	0.005205094	0.007429736	0.005261545
44	25.083	61.98592	[M-H]-	0.016	107.97	61.98592:135536 62.98927:272 63.99263:476		8.43561E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000186929	0	0	0	5.17948E-07	0	0
45	0.536	61.98592	[M-H]-	0.206	162.58	61.98622:292018 62.98957:448 63.99293:1568	31.98971:140 45.84417:60 45.99141:5771 61.98683:1885	0.000120411	4.22874E-05	1.87376E-05	0.000107598	1.24079E-05	9.81201E-05	8.22873E-05	8.8958E-05	8.98721E-06	8.47144E-06	8.22267E-05	1.62474E-05	2.13388E-05	0.002184186	0.001928055	0.00274714	1.52842E-06	0.003262711	0.001277498	0.0009363	0.001873661
46	22.561	61.98593	[M-H]-	0.032	67.17	61.98593:167659 62.98928:1061 63.99264:1430		0.000425849	0.000378464	0.000457951	0.000155969	0.000451364	0.000694149	9.61136E-05	0.000286404	0.000215146	0.000301283	0.000181217	0.000167446	0.000280018	0.000581176	0.000664351	0.00121241	0	0.000672847	0	0	0
47	21.604	61.98595	[M-H]-	0.111	76.37	61.98595:631369 62.9893:521 63.99266:2084		0.005566617	0.010783329	0.013666576	0.006465942	0.007756261	0.009237044	0.013532973	0.018680665	0.000654631	0.011201939	0.011496858	0.026873578	0.01101104	0.021333302	0.004345129	0.002157638	0.008836803	0.002674887	0.010795681	0.012791328	0.014542202
48	1.859	61.98596	[M-H]-	0.048	6.42	61.98596:27802 62.98931:156 63.99267:108		0.000466475	0.000291791	0.000179625	6.16321E-05	5.34981E-05	0.000154879	9.51534E-05	0.000255672	0.000364505	0.000282419	0.000152596	4.87448E-05	0.00031116	0.000307303	0.000219625	0.000917373	0.000548325	0.000319615	0.000216145	0.00074851	0.000309683
49	25.695	61.98598	[M-H]-	0.016	8.98	61.98598:11014 62.98933:0 63.99269:0		0	0	6.58309E-08	4.25265E-07	0	1.57254E-06	0	0	0	0	6.39155E-05	0	0	0	0	0	0	0	2.55567E-08	0	0
50	0.635	61.98603	[M-H]-	0.429	11.98	61.98603:30118 62.98938:27 63.99274:27		0.000355047	0.000229996	0.000235418	0.00034746	0.000351906	0.000214646	0.000168234	0.000164573	0.000429409	0.00025565	0.000295819	0.000258656	0.000265573	0.000189513	0.000244843	0.000261286	0.000143534	7.78357E-05	0.000133661	0.000185366	0.000446441
51	8.057	61.98607	[M-H]-	0.016	1.01	61.98607:21419 62.98942:20 63.99278:0		0.000111949	7.44471E-05	8.83589E-05	6.51343E-05	0.000142598	0.000127811	2.88379E-05	7.57981E-05	5.21518E-05	7.3064E-05	4.7679E-05	9.91275E-05	6.46E-05	0.000104088	6.14187E-05	6.57248E-05	0.000117605	4.96013E-05	4.53154E-05	7.53976E-05	0.000113234
52	17.403	61.98607	[M-H]-	0.683	20.3	61.98607:59241 62.98942:52 63.99278:154		0.001441996	0.001050349	0.00139662	0.001300425	0.001354425	0.001031892	0.000969699	0.001117381	0.001309386	0.001001801	0.001120157	0.001351167	0.001146196	0.001498192	0.001308218	0.001532133	0.001733961	0.001855516	0.001158063	0.001502577	0.001836379
53	1.07	61.9861	[M-H]-	0.048	10.67	61.9861:30169 62.98945:0 63.99281:94		0.000229966	0.00018755	0.000402816	0.000325937	0.000404321	0.00033642	0.000281739	0.00030913	0.000340196	0.000263241	0.000320717	0.000297558	0.000279324	0.000410726	0.000293583	0.0004326	0.00036355	0.000292899	0.000312521	0.000445735	0.000506379
54	17.628	61.98612	[M-H]-	0.603	19.89	61.98612:60923 62.98947:71 63.99283:318		0.001376552	0.001184577	0.001336478	0.001260806	0.001274681	0.000995285	0.000955406	0.001157781	0.001236111	0.000882961	0.001102769	0.001351879	0.001072674	0.001392865	0.001280882	0.001652758	0.001680142	0.001793814	0.00104638	0.001467434	0.001805164
55	19.613	61.98613	[M-H]-	0.413	99.84	61.98613:617635 62.98948:522 63.99284:2351		0.011896234	0.014784569	0.011284309	0.005387549	0.008539094	0.0110681	0.009598438	0.0308887	0.014119982	0.005255722	0.008590355	0.009719286	0.019331359	0.014539972	0.009466221	0.019705942	0.02406936	0.016930669	0.008283672	0.03152355	0.009291808
56	21.018	61.98613	[M-H]-	0.048	101.24	61.98613:725387 62.98948:636 63.99284:2226		0.006059504	0.007884562	0.009257448	0.01027288	0.005733064	0.004013975	0.008917178	0.021255803	0.012083098	0.010149964	0.003862775	0.012867231	0.007979342	0.02263388	0.009265067	0.008516136	0.005111392	0.007850269	0.008522773	0.021535565	0.010872154
57	1.431	61.98616	[M-H]-	0.333	7.1	61.98616:35000 62.98951:0 63.99287:124		0.001191591	0.000810469	0.001398269	0.001290303	0.001017684	0.000585523	0.000168408	0.000861368	0.000891888	0.000263244	0.000396178	0.000856608	0.001007146	0.000401945	0.000252927	0.000826056	0.000522355	0.000610509	5.07862E-05	0.000491193	0.000463359
58	4.102	61.98618	[M-H]-	0.016	0.92	61.98618:23679 62.98953:0 63.99289:40		0.000156947	6.53881E-05	3.25655E-05	7.16196E-05	0.000103243	6.26456E-05	8.01178E-05	7.41728E-05	9.79501E-05	7.07079E-05	5.39661E-05	0.000130366	4.21899E-05	9.91834E-05	5.91336E-05	3.84588E-05	0.000115942	8.75904E-05	0.000247394	0.000118933	6.38642E-05
59	19.415	61.9862	[M-H]-	0.016	16.54	61.9862:347273 62.98955:0 63.99291:0		0.010424925	0.001856891	0.007023581	0.007710864	0.002401502	0.00250296	0.005061698	0.006484945	0.0072874	0.006199392	0.010540818	0.009173757	0.003168872	0.003153632	0.004442804	0.003635016	0.0034894	0.002315302	0.003641796	0.005302493	0.009843663
60	23.699	61.98621	[M-H]-	0.127	108.66	61.98621:407981 62.98956:0 63.99292:0		0.000218248	0.000115336	0.000674926	8.60098E-05	0.000411538	0.000705896	4.77072E-05	0.00032072	0.000589978	0.000797624	0.000321039	0.000459477	7.36531E-06	0	0	0	0	0	0	0	0
61	24.395	61.98622	[M-H]-	0.016	13.15	61.98622:160650 62.98957:256 63.99293:639		0	0	0	0	0	0	0	0	0	0	0	0	0.000268691	0	1.21361E-05	0	0	0	1.70378E-08	0	0
62	24.763	61.98622	[M-H]-	0.016	111.02	61.98622:172298 62.98957:377 63.99293:301		0	0	0	1.09443E-07	0	0	0	0	0	0	0	0	0	0	7.52446E-05	0	0	0	5.11133E-09	0	0
63	21.512	61.98626	[M-H]-	0.048	136.35	61.98626:636194 62.98961:0 63.99297:3004		0.018016278	0.013707694	0.015576313	0.014578585	0.011799021	0.008312054	0.008856339	0.015843749	0.016966746	0.011201939	0.013774592	0.00917756	0.001924886	0.011576684	0.006796045	0.008411361	0.008407944	0.023734195	0.010824173	0.006682656	0.01774955
64	1.983	61.98626	[M-H]-	0.127	6.86	61.98626:26626 62.98961:0 63.99297:25		9.0829E-05	9.07641E-05	4.01257E-05	0.00045372	0.000445197	5.20389E-05	5.35667E-05	7.69961E-05	0.000237791	7.33729E-05	6.36555E-05	0.00044996	8.137E-05	8.46243E-05	0.000433846	0.000447083	0.000577246	0.000139597	0.000187092	0.000108129	0.000113724
65	23.401	61.98631	[M-H]-	0.254	148.87	61.98631:413491 62.98966:1042 63.99302:1389		0.000166736	0.001314078	0.000117252	9.71698E-05	0.000343089	0.003551237	0.000641893	0.005364631	0.005788375	0.005273973	0.000167359	0.000429521	0.000528682	0.000723276	0	0	0	0	0	0	0
