Alignment ID	Average Rt(min)	Average Mz	Adduct type	Fill %	S/N average	MS1 isotopic spectrum	MS/MS spectrum	NC	NC	NC	NC	NC	NC	NC	UC	UC	UC	UC	UC	UC	UC	CS	CS	CS	CS	CS	CS	CS
14	17.783	54.80093	[M+H]+	0.159	263.83	54.80093:2365 55.80428:0 56.80764:0		1.22423E-05	8.33651E-06	9.07368E-06	1.76481E-05	3.45154E-06	3.0132E-06	9.19774E-06	6.29216E-06	0	4.53738E-06	1.70495E-06	0	5.56595E-06	0	6.29615E-06	0	4.55095E-06	1.52783E-05	4.67479E-06	8.82863E-06	0
15	17.779	54.96273	[M+H]+	0.54	291.96	54.96273:4192 55.96608:0 56.96944:0		1.92206E-05	2.01058E-05	1.9773E-05	2.60548E-05	2.40903E-05	1.66279E-05	1.77023E-05	4.71479E-06	2.77258E-06	9.07309E-06	6.84996E-06	0	1.5354E-05	6.62326E-06	1.10235E-05	9.95979E-06	2.65155E-05	1.965E-05	7.80511E-06	2.00452E-05	1.36513E-05
16	1.962	55.05351	[M+H]+	0.19	193.76	55.05244:2164 56.05579:0 57.05915:0	38.01851:13 39.02856:7	4.58319E-07	2.12076E-05	2.0497E-05	4.46175E-07	2.30356E-07	1.31136E-05	1.90464E-05	1.85267E-07	2.38238E-05	1.1356E-07	0	2.05143E-07	1.76746E-05	0	1.04471E-07	8.2153E-07	3.6841E-07	1.93649E-05	1.88096E-07	1.35798E-07	4.77379E-08
17	1.79	55.05401	[M+H]+	0.222	192.13	55.05413:1719 56.05748:0 57.06084:76	37.00963:4 38.00879:4 38.01949:4 39.02254:4 39.02572:4	1.76884E-05	1.16272E-07	1.48779E-07	1.72893E-07	4.32727E-06	6.0331E-08	1.42394E-07	1.48803E-05	1.40668E-07	1.95523E-05	1.80951E-05	4.27297E-05	6.29702E-08	1.22107E-05	1.65309E-05	1.82292E-05	1.85755E-05	2.8824E-08	2.24352E-05	1.64457E-05	2.22795E-05
18	1.63	55.05403	[M+H]+	0.016	230.41	55.05403:2440 56.05738:287 57.06074:137	37.00855:7 38.01651:7 39.02143:7	4.35307E-07	1.27345E-07	1.86881E-07	2.21229E-07	1.02804E-07	1.52503E-07	7.04148E-08	1.71416E-07	1.99789E-07	2.1877E-07	3.67366E-07	1.20083E-07	7.98646E-08	1.00657E-07	2.61179E-07	7.7758E-08	9.33527E-08	1.52127E-07	2.29511E-07	1.14635E-07	1.36141E-07
19	1.853	55.05412	[M+H]+	0.492	199.53	55.05436:1845 56.05771:430 57.06107:430	38.63784:4	1.76884E-05	2.12003E-05	2.0497E-05	1.73265E-05	2.30356E-07	1.31136E-05	1.42394E-07	1.48855E-05	6.52373E-08	1.95473E-05	1.80951E-05	4.27297E-05	1.76746E-05	1.22107E-05	1.65309E-05	1.85318E-05	1.85755E-05	2.8824E-08	2.24352E-05	1.6458E-05	2.03328E-07
20	17.757	55.12716	[M+H]+	0.032	303.53	55.12716:1754 56.13051:0 57.13387:0		1.48484E-05	1.68133E-06	4.0896E-06	1.26026E-05	1.7153E-06	9.06642E-06	4.2468E-06	4.70267E-06	0	6.04539E-06	0	0	2.8014E-06	1.66176E-06	1.57578E-06	3.09511E-06	4.54594E-06	2.18902E-06	3.11135E-06	1.59783E-06	6.41987E-06
21	24.106	56.04837	[M+H-2H2O]+	0.016	460.7	56.04837:7502 57.05172:862 58.05508:400		1.02019E-06	1.28619E-05	1.87788E-06	7.52921E-07	8.03392E-07	9.26752E-07	1.56164E-06	1.77632E-05	8.82742E-07	2.31061E-05	1.85567E-06	4.37804E-07	4.54614E-07	2.08636E-07	1.26933E-06	4.85142E-07	9.03521E-07	6.43736E-07	6.36765E-07	2.1516E-07	4.27873E-07
22	24.675	56.0485	[M+H-2H2O]+	0.111	197.39	56.0485:8862 57.05185:513 58.05521:343	40.01493:10 42.04006:10	3.02989E-07	2.51E-07	1.2247E-06	7.10162E-07	5.90169E-07	1.49152E-07	6.44374E-06	5.59265E-07	3.62882E-07	5.04339E-07	1.29991E-07	1.42599E-07	1.2594E-07	8.41863E-08	2.10684E-07	1.35231E-07	1.68368E-07	1.48924E-07	6.55747E-08	7.40716E-08	1.39678E-07
23	25.723	56.04905	[M+H]+	0.016	134.12	56.04905:2447 57.0524:170 58.05576:400		5.36943E-08	1.67948E-07	3.97348E-07	3.55081E-07	4.66424E-07	1.20679E-05	1.86208E-07	6.75274E-08	2.03255E-06	1.9205E-07	6.21696E-08	1.17582E-07	8.90797E-08	6.58849E-08	1.54966E-07	5.74733E-08	1.31694E-07	5.44453E-08	1.8637E-07	1.95761E-07	1.29069E-07
24	24.464	56.0491	[M+H]+	0.048	193.58	56.0491:4641 57.05245:220 58.05581:380		1.87547E-06	3.87573E-07	6.84382E-06	2.69564E-07	3.3316E-07	4.99407E-07	1.87773E-07	3.70188E-06	1.57181E-06	2.21408E-05	4.61562E-07	6.37943E-07	6.4506E-08	9.33369E-08	9.40243E-08	4.37811E-07	1.50031E-07	1.55329E-07	2.07078E-07	7.58352E-08	1.4675E-07
25	25.412	56.04913	[M+H]+	0.016	81.54	56.04913:1496 57.05248:75 58.05584:100		2.22448E-07	5.38911E-07	5.30704E-06	1.67873E-06	2.18934E-07	5.4985E-06	6.85371E-07	1.38518E-07	1.79402E-07	2.4215E-07	1.45062E-07	6.75469E-08	3.37889E-08	5.12438E-08	4.00474E-08	8.11388E-08	5.50114E-08	5.12426E-08	4.65925E-08	8.81805E-08	8.13313E-08
26	25.082	56.04913	[M+H-2H2O]+	0.016	253.66	56.04913:4855 57.05248:390 58.05584:410	56.05183:11	2.1286E-07	2.41772E-07	9.11542E-06	8.27283E-07	1.05469E-06	3.61986E-07	6.44687E-07	2.87424E-07	5.78981E-07	1.11856E-05	2.20419E-07	1.52856E-06	1.2594E-07	1.04318E-07	3.6565E-08	9.63523E-08	4.91769E-07	1.18499E-07	1.44955E-07	8.11261E-08	7.24909E-08
